,name,position,department,timestamp
0,Wyc Grousbeck,"Managing Partner, Governor & Chief Executive Officer",Managing Partners,20180119090002
1,H. Irving Grousbeck,Managing Partner & Alternate Governor,Managing Partners,20180119090002
2,Stephen Pagliuca,Managing Partner & Alternate Governor,Managing Partners,20180119090002
3,Robert Epstein,Managing Partner & Alternate Governor,Managing Partners,20180119090002
4,Wendy Cooper,Executive Assistant,Managing Partners,20180119090002
5,Austin Ainge,Director of Player Personnel,Basketball Operations,20180119090002
6,Danny Ainge,President of Basketball Operations,Basketball Operations,20180119090002
7,Jerome Allen,Assistant Coach,Basketball Operations,20180119090002
8,Gibson Arnold,Regional Scout,Basketball Operations,20180119090002
9,Brandon Bailey,Assistant Video Coordinator,Basketball Operations,20180119090002
10,Alex Barlow,Video Assistant,Basketball Operations,20180119090002
11,Frank Burke,Director of Basketball Administration,Basketball Operations,20180119090002
12,Drew Cannon,Basketball Operations Analyst,Basketball Operations,20180119090002
13,Remy Cofield,Basketball Operations Assistant,Basketball Operations,20180119090002
14,Jake Eastman,Basketball Operations Assistant,Basketball Operations,20180119090002
15,Kenny Graves,Coaching Associate/Director of Player Development,Basketball Operations,20180119090002
16,Jay Larranaga,Assistant Coach,Basketball Operations,20180119090002
17,Armond Lavallee,Assistant Strength and Conditioning Coach,Basketball Operations,20180119090002
18,Luiz Lemes,International Scout,Basketball Operations,20180119090002
19,David Lewin,Director of Scouting,Basketball Operations,20180119090002
20,Todd Lickliter,Regional Scout,Basketball Operations,20180119090002
21,Andrew Mannix,Basketball Facilities Manager,Basketball Operations,20180119090002
22,Benas Matkevicius,International Scout,Basketball Operations,20180119090002
23,Walter McCarty,Assistant Coach,Basketball Operations,20180119090002
24,Kathleen Nimmo,Team Services Manager,Basketball Operations,20180119090002
25,Matthew Reynolds,Video Assistant,Basketball Operations,20180119090002
26,Gary Schmidt,Advance Scout,Basketball Operations,20180119090002
27,Micah Shrewsberry,Assistant Coach,Basketball Operations,20180119090002
28,David Sparks,Director of Basketball Analytics,Basketball Operations,20180119090002
29,Brad Stevens,Head Coach,Basketball Operations,20180119090002
30,Tyler Yeaton,Assistant Strength and Conditioning Coach,Basketball Operations,20180119090002
31,Jamie Young,Assistant Coach,Basketball Operations,20180119090002
32,Mike Zarren,Assistant General Manager & Team Counsel,Basketball Operations,20180119090002
33,Pete Chrisafideis,Home Equipment Personnel,Team Services,20180119090002
34,John Connor,Team Travel & Equipment Manager,Team Services,20180119090002
35,Phil Lynch,Director of Team Security,Team Services,20180119090002
36,Francis O'Bryant,Operations Liaison,Team Services,20180119090002
37,Dr. Johann Bilsborough,Director of Sport Science,Medical Staff,20180119090002
38,Brian Dolan,Physical Therapist,Medical Staff,20180119090002
39,"Brian McKeon, M.D.",Chief Medical Officer & Team Physician,Medical Staff,20180119090002
