name,position,department,timestamp,date
Wyc Grousbeck,"Managing Partner, Governor & Chief Executive Officer",Managing Partners,20180328220257,2018-03-28
H. Irving Grousbeck,Managing Partner & Alternate Governor,Managing Partners,20180328220257,2018-03-28
Stephen Pagliuca,Managing Partner & Alternate Governor,Managing Partners,20180328220257,2018-03-28
Robert Epstein,Managing Partner & Alternate Governor,Managing Partners,20180328220257,2018-03-28
Wendy Cooper,Executive Assistant,Managing Partners,20180328220257,2018-03-28
Austin Ainge,Director of Player Personnel,Basketball Operations,20180328220257,2018-03-28
Danny Ainge,President of Basketball Operations,Basketball Operations,20180328220257,2018-03-28
Jerome Allen,Assistant Coach,Basketball Operations,20180328220257,2018-03-28
Gibson Arnold,Regional Scout,Basketball Operations,20180328220257,2018-03-28
Brandon Bailey,Assistant Video Coordinator,Basketball Operations,20180328220257,2018-03-28
Alex Barlow,Video Assistant,Basketball Operations,20180328220257,2018-03-28
Frank Burke,Director of Basketball Administration,Basketball Operations,20180328220257,2018-03-28
Drew Cannon,Basketball Operations Analyst,Basketball Operations,20180328220257,2018-03-28
Remy Cofield,Basketball Operations Assistant,Basketball Operations,20180328220257,2018-03-28
Jake Eastman,Basketball Operations Assistant,Basketball Operations,20180328220257,2018-03-28
Kenny Graves,Coaching Associate/Director of Player Development,Basketball Operations,20180328220257,2018-03-28
Jay Larranaga,Assistant Coach,Basketball Operations,20180328220257,2018-03-28
Armond Lavallee,Assistant Strength and Conditioning Coach,Basketball Operations,20180328220257,2018-03-28
Luiz Lemes,International Scout,Basketball Operations,20180328220257,2018-03-28
David Lewin,Director of Scouting,Basketball Operations,20180328220257,2018-03-28
Todd Lickliter,Regional Scout,Basketball Operations,20180328220257,2018-03-28
Andrew Mannix,Basketball Facilities Manager,Basketball Operations,20180328220257,2018-03-28
Benas Matkevicius,International Scout,Basketball Operations,20180328220257,2018-03-28
Walter McCarty,Assistant Coach,Basketball Operations,20180328220257,2018-03-28
Kathleen Nimmo,Team Services Manager,Basketball Operations,20180328220257,2018-03-28
Matthew Reynolds,Video Assistant,Basketball Operations,20180328220257,2018-03-28
Gary Schmidt,Advance Scout,Basketball Operations,20180328220257,2018-03-28
Micah Shrewsberry,Assistant Coach,Basketball Operations,20180328220257,2018-03-28
David Sparks,Director of Basketball Analytics,Basketball Operations,20180328220257,2018-03-28
Brad Stevens,Head Coach,Basketball Operations,20180328220257,2018-03-28
Tyler Yeaton,Assistant Strength and Conditioning Coach,Basketball Operations,20180328220257,2018-03-28
Jamie Young,Assistant Coach,Basketball Operations,20180328220257,2018-03-28
Mike Zarren,Assistant General Manager & Team Counsel,Basketball Operations,20180328220257,2018-03-28
Pete Chrisafideis,Home Equipment Personnel,Team Services,20180328220257,2018-03-28
John Connor,Team Travel & Equipment Manager,Team Services,20180328220257,2018-03-28
Phil Lynch,Director of Team Security,Team Services,20180328220257,2018-03-28
Francis O'Bryant,Operations Liaison,Team Services,20180328220257,2018-03-28
Dr. Johann Bilsborough,Director of Sport Science,Medical Staff,20180328220257,2018-03-28
Brian Dolan,Physical Therapist,Medical Staff,20180328220257,2018-03-28
"Brian McKeon, M.D.",Chief Medical Officer & Team Physician,Medical Staff,20180328220257,2018-03-28
Nicholas Alberti,Corporate Partnerships Activation Assistant,"Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Chris Baker,"Sr. Director, Corporate Partnerships","Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Dana Barros,Community Relations Consultant,"Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
John Borders IV,Community Engagement Manager,"Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Kelsie Bryant,Community Engagement Assistant,"Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Tessa Caffrey,"Sr. Director, Corporate Partnerships Events and Hospitality","Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Ted Dalton,"Senior VP, Corporate Partnerships & Business Development","Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Nicole Federico,"Sr. Director, Business Development","Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Jim Ferris,"Managing Director, CLTX Crossover Gaming","Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Claire Fox,"Manager, Corporate Partnership Activation","Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Leanda Helms,Sr. Designer and Creative Strategist,"Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
David Hoffman,"Sr. Director, Community Engagement","Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Kara Keena,"Sr. Manager, Corporate Partnerships Activation","Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Kelsey Keena,"Sr. Coordinator, Community Engagement","Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Vicky Le,"Sr. Director, Corporate Partnerships Activation","Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Bil Marzouki,"Director, Corporate Partnership Sales","Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Leon Powe,Community Ambassador,"Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Siobhan Sherbovich,"Director, Corporate Partnerships","Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Richie Smith,"Manager, Analytics & Strategy","Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Jake Spiak,"Manager, Corporate Partnerships","Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Alec Spivack,"Strategy Coordinator, Business Development","Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Sam Taub,"Manager, Community Engagement","Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Johnson Tran,Community Engagement Coordinator,"Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Ariann Williams,"Sr. Coordinator, Community Engagement","Corporate Partnerships - Sales, Activation and Community Engagement",20180328220257,2018-03-28
Kit Ackerman,Mascot Coordinator,"Marketing, Ticket Sales, and Service",20180328220257,2018-03-28
