name,position,department,timestamp,date
Joe Tsai,Governor,GOVERNANCE,20210829041659,2021-08-29
Oliver Weisberg,Alternate Governor,GOVERNANCE,20210829041659,2021-08-29
John Abbamondi,"Alternate Governor, Brooklyn Nets, CEO, BSE Global",GOVERNANCE,20210829041659,2021-08-29
Sean Marks,"Alternative Governor, General Manager",GOVERNANCE,20210829041659,2021-08-29
Michael Wandell,"Executive Vice President, Chief Commercial Officer",MANAGEMENT,20210829041659,2021-08-29
Laurie Jacoby,"Executive Vice President, Chief Entertainment Officer",MANAGEMENT,20210829041659,2021-08-29
Leo Ehrline,"Executive Vice President, Chief Experience Officer",MANAGEMENT,20210829041659,2021-08-29
Peter Stern,"Executive Vice President, Chief Financial Officer",MANAGEMENT,20210829041659,2021-08-29
Emerson Moore,"Executive Vice President, Chief People Officer",MANAGEMENT,20210829041659,2021-08-29
Jeff Gewirtz,"Executive Vice President, Chief Operating Officer and General Counsel",MANAGEMENT,20210829041659,2021-08-29
Mandy Gutmann,"Executive Vice President, Communications and Community Relations",MANAGEMENT,20210829041659,2021-08-29
Travis Sampson,Chief Information Officer,MANAGEMENT,20210829041659,2021-08-29
"Jackie Wilson, II",Executive Director of Diversity & Inclusion,MANAGEMENT,20210829041659,2021-08-29
Andrew Karson,"Senior Vice President, Brand Marketing and Solutions",MANAGEMENT,20210829041659,2021-08-29
Amos Varon,"Senior Vice President, Partnership and Premium Development",MANAGEMENT,20210829041659,2021-08-29
Joshua Pruss,"Senior Vice President, Partnership Marketing and Premium Hospitality",MANAGEMENT,20210829041659,2021-08-29
Paul Kavanaugh,"Senior Vice President, Ticket Sales and Operations",MANAGEMENT,20210829041659,2021-08-29
Adina Erwin,"General Manager, Barclays Center",MANAGEMENT,20210829041659,2021-08-29
Josue Napa,"Vice President, Controller",MANAGEMENT,20210829041659,2021-08-29
Jeff Gamble,"Vice President, Creative & Content Management",MANAGEMENT,20210829041659,2021-08-29
Paul Kamras,"Vice President, Game Presentation",MANAGEMENT,20210829041659,2021-08-29
Dan Gaiman,"Vice President, Global Partnership Sales",MANAGEMENT,20210829041659,2021-08-29
Chris Insolera,"Vice President, Global Partnership Sales",MANAGEMENT,20210829041659,2021-08-29
Alton Byrd,"Vice President, Growth Properties - Long Island Nets",MANAGEMENT,20210829041659,2021-08-29
Chris Giacalone,"Vice President, Hospitality",MANAGEMENT,20210829041659,2021-08-29
Victor Pereira,"Vice President, Information Technology",MANAGEMENT,20210829041659,2021-08-29
Randy Lewis,"Vice President, Marketing Technology",MANAGEMENT,20210829041659,2021-08-29
Christine Bowns,"Vice President, Premium Hospitality",MANAGEMENT,20210829041659,2021-08-29
"Riley J. Williams III, MD",Medical Director & Head Team Physician,MEDICAL STAFF,20210829041659,2021-08-29
"Michael Farber, MD",Team Physician/Internal Medicine,MEDICAL STAFF,20210829041659,2021-08-29
"Martin O'Malley, MD",Team Physician/Orthopedics,MEDICAL STAFF,20210829041659,2021-08-29
Joe Tsai,Governor,GOVERNANCE,20210131090146,2021-01-31
Oliver Weisberg,Alternate Governor,GOVERNANCE,20210131090146,2021-01-31
John Abbamondi,"Alternate Governor, Brooklyn Nets, CEO, BSE Global",GOVERNANCE,20210131090146,2021-01-31
Sean Marks,"Alternative Governor, General Manager",GOVERNANCE,20210131090146,2021-01-31
Michael Wandell,"Executive Vice President, Chief Commercial Officer",MANAGEMENT,20210131090146,2021-01-31
Leo Ehrline,"Executive Vice President, Chief Experience Officer",MANAGEMENT,20210131090146,2021-01-31
Peter Stern,"Executive Vice President, Chief Financial Officer",MANAGEMENT,20210131090146,2021-01-31
Emerson Moore,"Executive Vice President, Chief People Officer",MANAGEMENT,20210131090146,2021-01-31
